,STATENAME,ACTIVITY LEVEL,WEEK,SEASON
3413,Utah,1,23,2016
3414,Utah,1,24,2016
3415,Utah,1,25,2016
3416,Utah,1,26,2016
3417,Utah,1,27,2016
3418,Utah,1,28,2016
3419,Utah,1,29,2016
3420,Utah,1,30,2016
3421,Utah,1,31,2016
3422,Utah,1,32,2016
3423,Utah,1,33,2016
3424,Utah,1,34,2016
3425,Utah,1,35,2016
3426,Utah,1,36,2016
3427,Utah,1,37,2016
3428,Utah,1,38,2016
3429,Utah,1,39,2016
3430,Tennessee,1,40,2016
3431,Tennessee,1,41,2016
3432,Tennessee,1,42,2016
3433,Tennessee,1,43,2016
3434,Tennessee,1,44,2016
3435,Tennessee,1,45,2016
3436,Tennessee,1,46,2016
3437,Tennessee,4,47,2016
3438,Tennessee,1,48,2016
3439,Tennessee,2,49,2016
3440,Tennessee,1,50,2016
3441,Tennessee,3,51,2016
3442,Tennessee,5,52,2016
3443,Tennessee,5,1,2016
3444,Tennessee,7,2,2016
3445,Tennessee,7,3,2016
3446,Tennessee,8,4,2016
3447,Tennessee,10,5,2016
3448,Tennessee,10,6,2016
3449,Tennessee,10,7,2016
3450,Tennessee,10,8,2016
3451,Tennessee,10,9,2016
3452,Tennessee,10,10,2016
3453,Tennessee,7,11,2016
3454,Tennessee,10,12,2016
3455,Tennessee,9,13,2016
3456,Tennessee,6,14,2016
3457,Tennessee,3,15,2016
3458,Tennessee,4,16,2016
3459,Tennessee,2,17,2016
3460,Tennessee,1,18,2016
3461,Tennessee,1,19,2016
3462,Tennessee,1,20,2016
3463,Tennessee,1,21,2016
3464,Tennessee,1,22,2016
3465,Tennessee,1,23,2016
3466,Tennessee,1,24,2016
3467,Tennessee,1,25,2016
3468,Tennessee,1,26,2016
3469,Tennessee,1,27,2016
3470,Tennessee,1,28,2016
3471,Tennessee,1,29,2016
3472,Tennessee,1,30,2016
3473,Tennessee,1,31,2016
3474,Tennessee,1,32,2016
3475,Tennessee,1,33,2016
3476,Tennessee,1,34,2016
3477,Tennessee,1,35,2016
3478,Tennessee,1,36,2016
3479,Tennessee,1,37,2016
3480,Tennessee,1,38,2016
3481,Tennessee,1,39,2016
3482,South Carolina,2,40,2016
3483,South Carolina,1,41,2016
3484,South Carolina,1,42,2016
3485,South Carolina,2,43,2016
3486,South Carolina,3,44,2016
3487,South Carolina,1,45,2016
3488,South Carolina,1,46,2016
3489,South Carolina,3,47,2016
3490,South Carolina,3,48,2016
3491,South Carolina,1,49,2016
3492,South Carolina,4,50,2016
3493,South Carolina,1,51,2016
3494,South Carolina,8,52,2016
3495,South Carolina,9,1,2016
3496,South Carolina,7,2,2016
3497,South Carolina,10,3,2016
3498,South Carolina,10,4,2016
3499,South Carolina,10,5,2016
3500,South Carolina,10,6,2016
3501,South Carolina,10,7,2016
3502,South Carolina,10,8,2016
3503,South Carolina,10,9,2016
3504,South Carolina,10,10,2016
3505,South Carolina,10,11,2016
3506,South Carolina,10,12,2016
3507,South Carolina,10,13,2016
3508,South Carolina,10,14,2016
3509,South Carolina,7,15,2016
3510,South Carolina,3,16,2016
3511,South Carolina,4,17,2016
3512,South Carolina,1,18,2016
3513,South Carolina,1,19,2016
3514,South Carolina,1,20,2016
3515,South Carolina,1,21,2016
3516,South Carolina,1,22,2016
3517,South Carolina,1,23,2016
3518,South Carolina,1,24,2016
3519,South Carolina,1,25,2016
3520,South Carolina,1,26,2016
3521,South Carolina,1,27,2016
3522,South Carolina,1,28,2016
3523,South Carolina,1,29,2016
3524,South Carolina,1,30,2016
3525,South Carolina,1,31,2016
3526,South Carolina,1,32,2016
3527,South Carolina,1,33,2016
3528,South Carolina,1,34,2016
3529,South Carolina,1,35,2016
3530,South Carolina,1,36,2016
3531,South Carolina,1,37,2016
3532,South Carolina,1,38,2016
3533,South Carolina,1,39,2016
3534,North Carolina,1,39,2016
3535,North Carolina,1,38,2016
3536,North Carolina,1,37,2016
3537,North Carolina,1,36,2016
3538,North Carolina,1,35,2016
3539,North Carolina,1,34,2016
3540,North Carolina,1,33,2016
3541,North Carolina,1,32,2016
3542,North Carolina,1,31,2016
3543,North Carolina,1,30,2016
3544,North Carolina,1,29,2016
3545,North Carolina,1,28,2016
3546,North Carolina,1,27,2016
3547,North Carolina,1,26,2016
3548,North Carolina,1,25,2016
3549,North Carolina,1,24,2016
3550,North Carolina,1,23,2016
3551,North Carolina,1,22,2016
3552,North Carolina,1,21,2016
3553,North Carolina,1,20,2016
3554,North Carolina,1,19,2016
3555,North Carolina,1,18,2016
3556,North Carolina,1,17,2016
3557,North Carolina,1,16,2016
3558,North Carolina,3,15,2016
3559,North Carolina,4,14,2016
3560,North Carolina,7,13,2016
3561,North Carolina,10,12,2016
3562,North Carolina,5,11,2016
3563,North Carolina,10,10,2016
3564,North Carolina,10,9,2016
3565,North Carolina,10,8,2016
3566,North Carolina,10,7,2016
3567,North Carolina,10,6,2016
3568,North Carolina,10,5,2016
3569,North Carolina,5,4,2016
3570,North Carolina,4,3,2016
3571,North Carolina,2,2,2016
3572,North Carolina,2,1,2016
3573,North Carolina,3,52,2016
3574,North Carolina,3,51,2016
3575,North Carolina,2,50,2016
3576,North Carolina,1,49,2016
3577,North Carolina,1,48,2016
3578,North Carolina,1,47,2016
3579,North Carolina,1,46,2016
3580,North Carolina,1,45,2016
3581,North Carolina,1,44,2016
3582,North Carolina,1,43,2016
3583,North Carolina,1,42,2016
3584,North Carolina,1,41,2016
3585,North Carolina,1,40,2016
3586,Ohio,1,39,2016
3587,Ohio,1,38,2016
3588,Ohio,1,37,2016
3589,Ohio,1,36,2016
3590,Ohio,1,35,2016
3591,Ohio,1,34,2016
3592,Ohio,1,33,2016
3593,Ohio,1,32,2016
3594,Ohio,1,31,2016
3595,Ohio,1,30,2016
3596,Ohio,1,29,2016
3597,Ohio,1,28,2016
3598,Ohio,1,27,2016
